delay,condition,textbox.text,,,,,,,
0.1,exp,200,,,,,,,
0.1,exp,1000,,,exp 100,,exp 400,,exp 700
0.1,exp,200,,,494.2708333,,513.8,,499.0625
0.1,exp,400,,,,,,,
0.1,exp,400,,,unexp 100,,unexp 400,,unexp 700
0.1,exp,1000,,,637.5,,549.65625,,645.1612903
0.1,exp,700,,,,,,,
0.1,exp,500,,,Difference in interval ,,,,
0.1,exp,100,,,100,,400,,700
0.1,exp,1000,,,-143.2291667,,-35.85625,,-146.0987903
0.1,exp,200,,,,,,,
0.1,exp,1000,,,,,,,
0.1,exp,200,,,,,,,
0.1,exp,1000,,,,,,,
0.1,exp,100,,,,,,,
0.1,exp,300,,,,,,,
0.1,exp,100,,,,,,,
0.1,exp,200,,,,,,,
0.1,exp,500,,,,,,,
0.1,exp,200,,,,,,,
0.1,exp,200,,,,,,,
0.1,exp,1000,,,,,,,
0.1,exp,700,,,,,,,
0.1,exp,700,,,,,,,
0.1,exp,1000,,,,,,,
0.1,exp,200,,,,,,,
0.1,exp,500,,,,,,,
0.1,exp,500,,,,,,,
0.1,exp,700,,,,,,,
0.1,exp,200,,,,,,,
0.1,exp,100,,,,,,,
0.1,exp,300,,,,,,,
0.1,exp,1000,,,,,,,
0.1,exp,200,,,,,,,
0.1,exp,500,,,,,,,
0.1,exp,100,,,,,,,
0.1,exp,700,,,,,,,
0.1,exp,500,,,,,,,
0.1,exp,200,,,,,,,
0.1,exp,700,,,,,,,
0.1,exp,500,,,,,,,
0.1,exp,400,,,,,,,
0.1,exp,"100
",,,,,,,
0.1,exp,400,,,,,,,
0.1,exp,200,,,,,,,
0.1,exp,200,,,,,,,
0.1,exp,1000,,,,,,,
0.1,exp,200,,,,,,,
0.1,exp,150,,,,,,,
0.1,exp,700,,,,,,,
0.1,exp,300,,,,,,,
0.1,exp,200,,,,,,,
0.1,exp,700,,,,,,,
0.1,exp,500,,,,,,,
0.1,exp,400,,,,,,,
0.1,exp,200,,,,,,,
