condition,key_resp.corr,key_resp.rt,,,,,,,congruent,1,1.0297241,,#NAME?,1,0.6842173
congruent,1,1.0297241,,,,,,,congruent,1,0.5463405,,incongruent,1,0.5325372
congruent,1,0.5463405,,,,,,,congruent,1,0.4447671,,incongruent,1,0.5678559
congruent,1,0.4447671,,,,,,,congruent,1,1.0030078,,incongruent,1,0.5404112
congruent,1,1.0030078,,,,,,,congruent,1,0.4367297,,incongruent,1,0.5744504
congruent,1,0.4367297,,,Mean of Congruent,,Mean of Incongruent,,congruent,1,0.4829337,,incongruent,1,0.5907156
congruent,1,0.4829337,,,0.656,,0.599,,congruent,1,0.6242536,,incongruent,1,0.6045126
congruent,1,0.6242536,,,,,,,congruent,1,0.5463796,,incongruent,1,0.5553814
congruent,1,0.5463796,,,Accuracy,,,,congruent,1,0.5940618,,incongruent,1,0.5515394
congruent,1,0.5940618,,,98,,100,,congruent,1,0.5483916,,incongruent,1,0.5764361
congruent,1,0.5483916,,,,,,,congruent,1,0.7451134,,incongruent,1,0.7163614
congruent,1,0.7451134,,,Simon Effect,,IncongRT-CongRT,,congruent,1,0.7488773,,incongruent,1,0.5859524
congruent,1,0.7488773,,,-0.057,,,,congruent,1,0.6064206,,incongruent,1,0.556217
congruent,1,0.6064206,,,,,,,congruent,1,0.6542662,,incongruent,1,0.4830014
congruent,1,0.6542662,,,,,,,congruent,1,0.7431704,,incongruent,1,0.5612297
congruent,1,0.7431704,,,,,,,congruent,1,0.5227341,,incongruent,1,0.4773435
congruent,1,0.5227341,,,,,,,congruent,1,0.5965538,,incongruent,1,0.4255111
congruent,1,0.5965538,,,,,,,congruent,1,0.6850001,,incongruent,1,0.6077942
congruent,1,0.6850001,,,,,,,congruent,1,0.6052008,,incongruent,1,0.5451634
congruent,1,0.6052008,,,,,,,congruent,1,1.0780843,,incongruent,1,0.7987097
congruent,1,1.0780843,,,,,,,congruent,1,0.5709634,,incongruent,1,0.5628901
congruent,1,0.5709634,,,,,,,congruent,1,0.8614403,,incongruent,1,0.6131926
congruent,1,0.8614403,,,,,,,congruent,1,0.5953076,,incongruent,1,0.6251169
congruent,1,0.5953076,,,,,,,congruent,1,0.6404712,,incongruent,1,0.7617825
congruent,1,0.6404712,,,,,,,congruent,1,0.7032835,,incongruent,1,0.6948725
congruent,1,0.7032835,,,,,,,congruent,1,0.668561,,incongruent,1,0.5792492
congruent,1,0.668561,,,,,,,congruent,1,0.8331509,,incongruent,1,0.8138784
congruent,1,0.8331509,,,,,,,congruent,1,0.7279269,,incongruent,1,0.552078
congruent,1,0.7279269,,,,,,,congruent,1,0.8405468,,incongruent,1,0.7466347
congruent,1,0.8405468,,,,,,,congruent,1,0.5463165,,incongruent,1,0.4925551
congruent,1,0.5463165,,,,,,,congruent,1,0.7176204,,incongruent,1,0.6626396
congruent,1,0.7176204,,,,,,,congruent,1,0.6356117,,incongruent,1,0.5453982
congruent,1,0.6356117,,,,,,,congruent,1,0.5608733,,incongruent,1,0.8132579
congruent,1,0.5608733,,,,,,,congruent,1,0.587997,,incongruent,1,0.6049648
congruent,1,0.587997,,,,,,,congruent,1,0.6273251,,incongruent,1,0.5993231
congruent,1,0.6273251,,,,,,,congruent,1,0.6758621,,incongruent,1,0.6773829
congruent,1,0.6758621,,,,,,,congruent,1,0.9133987,,incongruent,1,0.7781353
congruent,1,0.9133987,,,,,,,congruent,1,0.5265037,,incongruent,1,0.6368684
congruent,1,0.5265037,,,,,,,congruent,1,0.4247831,,incongruent,1,0.6186073
congruent,1,0.4247831,,,,,,,congruent,1,0.5508385,,incongruent,1,0.5109602
congruent,1,0.5508385,,,,,,,congruent,1,0.7274401,,incongruent,1,0.9665094
congruent,1,0.7274401,,,,,,,congruent,1,0.6318112,,incongruent,1,0.3414847
congruent,1,0.6318112,,,,,,,congruent,1,0.6883279,,incongruent,1,0.5390961
congruent,1,0.6883279,,,,,,,congruent,1,0.533565,,incongruent,1,0.4446918
congruent,1,0.533565,,,,,,,congruent,1,0.7714147,,incongruent,1,0.5584813
congruent,0,0.7840204,,,,,,,congruent,1,0.549831,,incongruent,1,0.5192074
congruent,1,0.7714147,,,,,,,congruent,1,0.6216545,,incongruent,1,0.5509058
congruent,1,0.549831,,,,,,,congruent,1,0.6955749,,incongruent,1,0.5621712
congruent,1,0.6216545,,,,,,,congruent,1,0.4950102,,incongruent,1,0.5479775
congruent,1,0.6955749,,,,,,,Mean,,0.656437178,,incongruent,1,0.5348137
congruent,1,0.4950102,,,,,,,,,,,Mean,,0.59980935
incongruent,1,0.6842173,,,,,,,,,,,,,
incongruent,1,0.5325372,,,,,,,,,,,,,
incongruent,1,0.5678559,,,,,,,,,,,,,
incongruent,1,0.5404112,,,,,,,,,,,,,
incongruent,1,0.5744504,,,,,,,,,,,,,
incongruent,1,0.5907156,,,,,,,,,,,,,
incongruent,1,0.6045126,,,,,,,,,,,,,
incongruent,1,0.5553814,,,,,,,,,,,,,
incongruent,1,0.5515394,,,,,,,,,,,,,
incongruent,1,0.5764361,,,,,,,,,,,,,
incongruent,1,0.7163614,,,,,,,,,,,,,
incongruent,1,0.5859524,,,,,,,,,,,,,
incongruent,1,0.556217,,,,,,,,,,,,,
incongruent,1,0.4830014,,,,,,,,,,,,,
incongruent,1,0.5612297,,,,,,,,,,,,,
incongruent,1,0.4773435,,,,,,,,,,,,,
incongruent,1,0.4255111,,,,,,,,,,,,,
incongruent,1,0.6077942,,,,,,,,,,,,,
incongruent,1,0.5451634,,,,,,,,,,,,,
incongruent,1,0.7987097,,,,,,,,,,,,,
incongruent,1,0.5628901,,,,,,,,,,,,,
incongruent,1,0.6131926,,,,,,,,,,,,,
incongruent,1,0.6251169,,,,,,,,,,,,,
incongruent,1,0.7617825,,,,,,,,,,,,,
incongruent,1,0.6948725,,,,,,,,,,,,,
incongruent,1,0.5792492,,,,,,,,,,,,,
incongruent,1,0.8138784,,,,,,,,,,,,,
incongruent,1,0.552078,,,,,,,,,,,,,
incongruent,1,0.7466347,,,,,,,,,,,,,
incongruent,1,0.4925551,,,,,,,,,,,,,
incongruent,1,0.6626396,,,,,,,,,,,,,
incongruent,1,0.5453982,,,,,,,,,,,,,
incongruent,1,0.8132579,,,,,,,,,,,,,
incongruent,1,0.6049648,,,,,,,,,,,,,
incongruent,1,0.5993231,,,,,,,,,,,,,
incongruent,1,0.6773829,,,,,,,,,,,,,
incongruent,1,0.7781353,,,,,,,,,,,,,
incongruent,1,0.6368684,,,,,,,,,,,,,
incongruent,1,0.6186073,,,,,,,,,,,,,
incongruent,1,0.5109602,,,,,,,,,,,,,
incongruent,1,0.9665094,,,,,,,,,,,,,
incongruent,1,0.3414847,,,,,,,,,,,,,
incongruent,1,0.5390961,,,,,,,,,,,,,
incongruent,1,0.4446918,,,,,,,,,,,,,
incongruent,1,0.5584813,,,,,,,,,,,,,
incongruent,1,0.5192074,,,,,,,,,,,,,
