condition,key_resp.corr,key_resp.rt,,,Cong,Corr,RT,,Incong,Corr,RT,,,,,,
congruent,1,0.36688,,,congruent,1,0.36688,,incongruent,1,0.5043643,,Mean of Congruent,,Mean of Incongruent,,
congruent,1,0.6618497,,,congruent,1,0.6618497,,incongruent,1,0.6102492,,0.605332932,,0.608464503,,
congruent,1,0.5377077,,,congruent,1,0.5377077,,incongruent,1,0.5196868,,,,,,
congruent,1,0.58923,,,congruent,1,0.58923,,incongruent,1,0.7433329,,Accuracy,,,,
congruent,1,0.5037212,,,congruent,1,0.5037212,,incongruent,1,0.4553189,,63.26530612,,65.30612245,,
congruent,1,0.6094958,,,congruent,1,0.6094958,,incongruent,1,0.4762763,,,,,,
congruent,1,0.4296955,,,congruent,1,0.4296955,,incongruent,1,0.4197978,,Simon Effect,,,,
congruent,1,0.4229266,,,congruent,1,0.4229266,,incongruent,1,0.4325714,,0.003131571,,,,
congruent,1,0.5507156,,,congruent,1,0.5507156,,incongruent,1,1.0795745,,,,,,
congruent,1,0.718094,,,congruent,1,0.718094,,incongruent,1,0.6332049,,,,,,
congruent,1,0.6429019,,,congruent,1,0.6429019,,incongruent,1,0.7695412,,,,,,
congruent,1,0.529412,,,congruent,1,0.529412,,incongruent,1,0.5921162,,,,,,
congruent,1,0.6884328,,,congruent,1,0.6884328,,incongruent,1,0.5901853,,,,,,
congruent,1,0.6863425,,,congruent,1,0.6863425,,incongruent,1,0.4518217,,,,,,
congruent,1,0.7151077,,,congruent,1,0.7151077,,incongruent,1,0.5660787,,,,,,
congruent,1,0.5273935,,,congruent,1,0.5273935,,incongruent,1,0.7133755,,,,,,
congruent,1,0.5842,,,congruent,1,0.5842,,incongruent,1,0.6190861,,,,,,
congruent,1,0.7083456,,,congruent,1,0.7083456,,incongruent,1,0.6749513,,,,,,
congruent,1,0.5346202,,,congruent,1,0.5346202,,incongruent,1,0.5437411,,,,,,
congruent,1,0.8605025,,,congruent,1,0.8605025,,incongruent,1,0.5603433,,,,,,
congruent,1,0.7237571,,,congruent,1,0.7237571,,incongruent,1,0.436904,,,,,,
congruent,1,0.6039563,,,congruent,1,0.6039563,,incongruent,1,0.5973189,,,,,,
congruent,1,0.7128074,,,congruent,1,0.7128074,,incongruent,1,0.5745311,,,,,,
congruent,1,0.826228,,,congruent,1,0.826228,,incongruent,1,0.7228155,,,,,,
congruent,1,0.6528762,,,congruent,1,0.6528762,,incongruent,1,0.7377156,,,,,,
congruent,1,0.5254725,,,congruent,1,0.5254725,,incongruent,1,0.6254,,,,,,
congruent,1,0.6321731,,,congruent,1,0.6321731,,incongruent,1,0.5510648,,,,,,
congruent,1,0.5851126,,,congruent,1,0.5851126,,incongruent,1,0.4729552,,,,,,
congruent,1,0.3731141,,,congruent,1,0.3731141,,incongruent,1,0.6283357,,,,,,
congruent,1,0.5125556,,,congruent,1,0.5125556,,incongruent,1,0.6510073,,,,,,
congruent,1,0.7496932,,,congruent,1,0.7496932,,incongruent,1,0.8255144,,,,,,
congruent,1,0.4744785,,,congruent,0,0.410301,,incongruent,1,0.6916842,,,,,,
incongruent,1,0.5043643,,,congruent,0,0.4917796,,incongruent,0,,,,,,,
incongruent,1,0.6102492,,,congruent,0,0.5139833,,incongruent,0,0.5272662,,,,,,
incongruent,1,0.5196868,,,congruent,0,0.4343394,,incongruent,0,0.7219759,,,,,,
incongruent,1,0.7433329,,,congruent,0,0.5884252,,incongruent,0,0.6168222,,,,,,
incongruent,1,0.4553189,,,congruent,0,0.5156843,,incongruent,0,0.4284173,,,,,,
incongruent,1,0.4762763,,,congruent,0,0.6966485,,incongruent,0,0.4668288,,,,,,
incongruent,1,0.4197978,,,congruent,0,0.7168168,,incongruent,0,0.5793798,,,,,,
incongruent,1,0.4325714,,,congruent,0,,,incongruent,0,0.7049744,,,,,,
incongruent,1,1.0795745,,,congruent,0,0.3821296,,incongruent,0,0.5941619,,,,,,
incongruent,1,0.6332049,,,congruent,0,0.4251622,,incongruent,0,0.6068264,,,,,,
incongruent,1,0.7695412,,,congruent,0,0.4067106,,incongruent,0,0.5569832,,,,,,
incongruent,1,0.5921162,,,congruent,0,0.6284669,,incongruent,0,0.4973596,,,,,,
incongruent,1,0.5901853,,,congruent,0,0.4950024,,incongruent,0,0.5527402,,,,,,
incongruent,1,0.4518217,,,congruent,0,0.4854948,,incongruent,0,0.6150041,,,,,,
incongruent,1,0.5660787,,,congruent,0,0.5018634,,incongruent,0,0.5276292,,,,,,
incongruent,1,0.7133755,,,congruent,0,0.7237197,,incongruent,0,0.5674016,,,,,,
incongruent,1,0.6190861,,,congruent,0,0.461101,,incongruent,0,0.4243964,,,,,,
incongruent,1,0.6749513,,,congruent,0,0.5464972,,,,,,,,,,
incongruent,1,0.5437411,,,,,,,,,,,,,,,
incongruent,1,0.5603433,,,,,,,,,,,,,,,
incongruent,1,0.436904,,,,,,,,,,,,,,,
incongruent,1,0.5973189,,,,,,,,,,,,,,,
incongruent,1,0.5745311,,,,,,,,,,,,,,,
incongruent,1,0.7228155,,,,,,,,,,,,,,,
incongruent,1,0.7377156,,,,,,,,,,,,,,,
incongruent,1,0.6254,,,,,,,,,,,,,,,
incongruent,1,0.5510648,,,,,,,,,,,,,,,
incongruent,1,0.4729552,,,,,,,,,,,,,,,
incongruent,1,0.6283357,,,,,,,,,,,,,,,
incongruent,1,0.6510073,,,,,,,,,,,,,,,
incongruent,1,0.8255144,,,,,,,,,,,,,,,
incongruent,1,0.6916842,,,,,,,,,,,,,,,
congruent,0,0.410301,,,,,,,,,,,,,,,
congruent,0,0.4917796,,,,,,,,,,,,,,,
congruent,0,0.5139833,,,,,,,,,,,,,,,
congruent,0,0.4343394,,,,,,,,,,,,,,,
congruent,0,0.5884252,,,,,,,,,,,,,,,
congruent,0,0.5156843,,,,,,,,,,,,,,,
congruent,0,0.6966485,,,,,,,,,,,,,,,
congruent,0,0.7168168,,,,,,,,,,,,,,,
congruent,0,,,,,,,,,,,,,,,,
congruent,0,0.3821296,,,,,,,,,,,,,,,
congruent,0,0.4251622,,,,,,,,,,,,,,,
congruent,0,0.4067106,,,,,,,,,,,,,,,
congruent,0,0.6284669,,,,,,,,,,,,,,,
congruent,0,0.4950024,,,,,,,,,,,,,,,
congruent,0,0.4854948,,,,,,,,,,,,,,,
congruent,0,0.5018634,,,,,,,,,,,,,,,
congruent,0,0.7237197,,,,,,,,,,,,,,,
congruent,0,0.461101,,,,,,,,,,,,,,,
congruent,0,0.5464972,,,,,,,,,,,,,,,
incongruent,0,,,,,,,,,,,,,,,,
incongruent,0,0.5272662,,,,,,,,,,,,,,,
incongruent,0,0.7219759,,,,,,,,,,,,,,,
incongruent,0,0.6168222,,,,,,,,,,,,,,,
incongruent,0,0.4284173,,,,,,,,,,,,,,,
incongruent,0,0.4668288,,,,,,,,,,,,,,,
incongruent,0,0.5793798,,,,,,,,,,,,,,,
incongruent,0,0.7049744,,,,,,,,,,,,,,,
incongruent,0,0.5941619,,,,,,,,,,,,,,,
incongruent,0,0.6068264,,,,,,,,,,,,,,,
incongruent,0,0.5569832,,,,,,,,,,,,,,,
incongruent,0,0.4973596,,,,,,,,,,,,,,,
incongruent,0,0.5527402,,,,,,,,,,,,,,,
incongruent,0,0.6150041,,,,,,,,,,,,,,,
incongruent,0,0.5276292,,,,,,,,,,,,,,,
incongruent,0,0.5674016,,,,,,,,,,,,,,,
incongruent,0,0.4243964,,,,,,,,,,,,,,,
