reward_today,future_reward,delay,key_resp.keys,k,,,,,
78,80,162,t,0.000158278,,,,,
17,19,125,t,0.000941176,,,,,
61,71,170,t,0.00096432,,,,,
79,92,170,t,0.000967982,,,,,
67,75,119,l,0.001003386,,,,,
80,92,147,t,0.001020408,,,,Participant - 3,
77,91,148,t,0.001228501,,,Key Response,k,Geometric Mean
26,30,125,t,0.001230769,,,t,0.00170068,0.001726483
41,49,154,t,0.001267026,,,l,0.001752678,
81,97,153,t,0.001291051,,,t,0.002338435,0.002388617
21,25,147,t,0.001295756,,,l,0.002439875,
18,22,170,t,0.00130719,,,t,0.00245098,0.002486413
31,38,170,t,0.001328273,,,l,0.002522357,
78,96,170,t,0.001357466,,,t,0.003056027,0.00323233
17,21,168,t,0.00140056,,,l,0.003418803,
80,100,170,t,0.001470588,,,t,0.004702194,0.004823554
22,25,92,t,0.001482213,,,l,0.004948046,
18,23,170,t,0.001633987,,,t,0.007142857,0.007233853
100,125,147,t,0.00170068,,,l,0.007326007,
79,88,65,l,0.001752678,,,t,0.007518797,0.007557967
78,91,88,t,0.001893939,,,l,0.007597341,
57,71,125,t,0.001964912,,,t,0.008658009,0.008935222
40,50,120,t,0.002083333,,,l,0.009221311,
59,76,125,t,0.002305085,,,t,0.010227273,0.010244984
84,117,168,t,0.002338435,,,l,0.010262726,
19,26,151,l,0.002439875,,,t,0.012962963,0.013295401
13,15,63,t,0.002442002,,,l,0.013636364,
68,96,168,t,0.00245098,,,t,0.019704433,0.020292755
49,60,89,l,0.002522357,,,l,0.020898642,
87,123,150,t,0.002758621,,,t,0.102564103,0.159084963
64,93,154,t,0.00294237,,,l,0.246753247,
30,44,153,t,0.003050109,,,,Participant- k-value,0.020108545
57,84,155,t,0.003056027,,,,,
91,105,45,l,0.003418803,,,,,
10,14,117,t,0.003418803,,,,,
29,35,58,t,0.003567182,,,,,
53,64,50,t,0.004150943,,,,,
37,53,94,t,0.004600345,,,,,
21,27,62,t,0.004608295,,,,,
43,67,121,t,0.004612723,,,,,
29,41,88,t,0.004702194,,,,,
94,114,43,l,0.004948046,,,,,
17,22,58,l,0.005070994,,,,,
27,35,49,t,0.006046863,,,,,
40,55,62,t,0.006048387,,,,,
81,125,89,t,0.006103482,,,,,
57,73,43,t,0.006527948,,,,,
30,40,50,t,0.006666667,,,,,
68,96,59,t,0.006979063,,,,,
30,43,61,t,0.007103825,,,,,
28,35,35,t,0.007142857,,,,,
91,119,42,l,0.007326007,,,,,
38,50,42,t,0.007518797,,,,,
81,89,13,l,0.007597341,,,,,
29,35,27,t,0.007662835,,,,,
38,44,19,t,0.008310249,,,,,
33,37,14,t,0.008658009,,,,,
61,97,64,l,0.009221311,,,,,
68,87,30,t,0.009313725,,,,,
24,30,25,t,0.01,,,,,
40,49,22,t,0.010227273,,,,,
84,109,29,l,0.010262726,,,,,
76,101,30,l,0.010964912,,,,,
97,150,47,l,0.011625356,,,,,
27,33,19,l,0.011695906,,,,,
95,143,43,l,0.011750306,,,,,
10,16,50,t,0.012,,,,,
91,123,29,t,0.012125805,,,,,
24,38,45,t,0.012962963,,,,,
10,13,22,l,0.013636364,,,,,
100,142,28,l,0.015,,,,,
14,21,30,l,0.016666667,,,,,
95,146,31,l,0.017317487,,,,,
50,78,32,l,0.0175,,,,,
83,99,11,l,0.017524644,,,,,
17,20,10,l,0.017647059,,,,,
37,58,31,t,0.018308631,,,,,
21,33,29,t,0.019704433,,,,,
87,107,11,l,0.020898642,,,,,
40,61,24,l,0.021875,,,,,
32,43,15,l,0.022916667,,,,,
20,29,19,l,0.023684211,,,,,
68,86,11,l,0.024064171,,,,,
14,21,19,l,0.026315789,,,,,
30,45,17,l,0.029411765,,,,,
41,63,18,l,0.029810298,,,,,
72,88,7,l,0.031746032,,,,,
28,37,8,l,0.040178571,,,,,
27,50,21,l,0.040564374,,,,,
26,41,14,l,0.041208791,,,,,
64,84,7,l,0.044642857,,,,,
75,101,7,l,0.04952381,,,,,
84,123,9,l,0.051587302,,,,,
21,29,7,l,0.054421769,,,,,
39,54,7,l,0.054945055,,,,,
56,87,9,l,0.061507937,,,,,
38,55,7,l,0.063909774,,,,,
42,67,7,l,0.085034014,,,,,
15,35,13,t,0.102564103,,,,,
11,30,7,l,0.246753247,,,,,
