condition,key_resp.corr,key_resp.rt,,Cong,Corr,RT,,Incong,Corr,RT,,,,,
congruent,1,0.9365512,,congruent,1,0.9365512,,incongruent,1,0.5463734,,,,,
congruent,1,0.3139558,,congruent,1,0.3139558,,incongruent,1,0.5209259,,Mean of Congreunt,,Mean of Incongreunt,
congruent,1,0.9180449,,congruent,1,0.9180449,,incongruent,1,0.6973819,,0.528710345,,0.548406723,
congruent,1,0.5894457,,congruent,1,0.5894457,,incongruent,1,0.6883919,,,,,
congruent,1,0.4923996,,congruent,1,0.4923996,,incongruent,1,0.5825046,,Accuracy,,,
congruent,1,0.3954889,,congruent,1,0.3954889,,incongruent,1,0.5758106,,98,,96,
congruent,1,0.5176866,,congruent,1,0.5176866,,incongruent,1,0.6192165,,,,,
congruent,1,0.3690467,,congruent,1,0.3690467,,incongruent,1,0.4828332,,Simon Effect,,,
congruent,1,0.6026688,,congruent,1,0.6026688,,incongruent,1,0.5880715,,0.019696378,,,
congruent,1,0.4840832,,congruent,1,0.4840832,,incongruent,1,0.6129311,,,,,
congruent,1,0.3625792,,congruent,1,0.3625792,,incongruent,1,0.5349638,,,,,
congruent,1,0.754419,,congruent,1,0.754419,,incongruent,1,0.694423,,,,,
congruent,1,0.4711353,,congruent,1,0.4711353,,incongruent,1,0.6086432,,,,,
congruent,1,0.5008495,,congruent,1,0.5008495,,incongruent,1,0.4527082,,,,,
congruent,1,0.6622133,,congruent,1,0.6622133,,incongruent,1,0.6494997,,,,,
congruent,1,0.6105607,,congruent,1,0.6105607,,incongruent,1,0.5206706,,,,,
congruent,1,0.6697183,,congruent,1,0.6697183,,incongruent,1,0.6180071,,,,,
congruent,1,0.5395896,,congruent,1,0.5395896,,incongruent,1,0.579056,,,,,
congruent,1,0.5399077,,congruent,1,0.5399077,,incongruent,1,0.4930086,,,,,
congruent,1,0.6667757,,congruent,1,0.6667757,,incongruent,1,0.4733014,,,,,
congruent,1,0.7556353,,congruent,1,0.7556353,,incongruent,1,0.5079588,,,,,
congruent,1,0.4967579,,congruent,1,0.4967579,,incongruent,1,0.5187938,,,,,
congruent,1,0.5189174,,congruent,1,0.5189174,,incongruent,1,0.4998354,,,,,
