reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
10,13,22,0,0,0,t,9.99130530000184,None,0,0,0,99,0.05987959999765735,,0.05692479999925126,0.05987959999765735,0.9919749000000593,0.9919749000000593,1.0506476999980805,10.994826899997861,t,9.99130530000184,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
42,67,7,1,1,0,l,10.535567599999922,None,0,1,1,90,11.002645599997777,,10.999804299997777,11.002645599997777,11.981515699997544,11.981515699997544,11.99356269999771,22.517735399997036,l,10.535567599999922,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
75,101,7,2,2,0,l,3.2598804000008386,None,0,2,2,29,22.52918619999764,,22.52170130000013,22.52918619999764,23.508781699998508,23.508781699998508,23.522828399996797,26.775410499998543,l,3.2598804000008386,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
68,87,30,3,3,0,l,6.093263899998419,None,0,3,3,68,26.782786899999337,,26.780329399996845,26.782786899999337,27.760565799999313,27.760565799999313,27.774779199997283,33.854109699997935,l,6.093263899998419,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
17,20,10,4,4,0,t,3.7132141000001866,None,0,4,4,75,33.85959529999673,,33.856823999998596,33.85959529999673,34.84655229999771,34.84655229999771,34.853981499996735,38.56713579999996,t,3.7132141000001866,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
100,125,147,5,5,0,t,2.6705763999998453,None,0,5,5,77,38.573828999997204,,38.56991559999733,38.573828999997204,39.56026740000016,39.56026740000016,39.56026740000016,42.23459379999986,t,2.6705763999998453,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
24,38,45,6,6,0,t,4.81968710000001,None,0,6,6,89,42.241834099997504,,42.238331099997595,42.241834099997504,43.22701519999828,43.22701519999828,43.23355519999677,48.053080199999386,t,4.81968710000001,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
53,64,50,7,7,0,t,6.91709560000163,None,0,7,7,7,48.058158099996945,,48.055766499997844,48.058158099996945,49.0452172999976,49.0452172999976,49.05153069999869,55.965521199999785,t,6.91709560000163,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
97,150,47,8,8,0,l,4.059776400001283,None,0,8,8,18,55.973695199998474,,55.97107909999977,55.973695199998474,56.95325439999942,56.95325439999942,56.964820399996825,61.01514229999884,l,4.059776400001283,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
87,123,150,9,9,0,t,3.1676643999999214,None,0,9,9,59,61.02637969999705,,61.01840329999686,61.02637969999705,62.00711479999882,62.00711479999882,62.01944899999944,65.17626689999815,t,3.1676643999999214,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
