condition,key_resp.corr,key_resp.rt,,,cong,Corr,RT,,Incong,Corr,RT,,,,
congruent,1,1.016815,,,congruent,1,1.016815,,incongruent,1,0.5915685,,Mean of Congreunt,,Mean of Incongreunt
congruent,1,0.5279804,,,congruent,1,0.5279804,,incongruent,1,0.5480446,,0.54722428,,0.519075562
congruent,1,0.4399824,,,congruent,1,0.4399824,,incongruent,1,0.5156611,,,,
congruent,1,0.6810012,,,congruent,1,0.6810012,,incongruent,1,0.6308309,,Accuracy,,
congruent,1,0.6121544,,,congruent,1,0.6121544,,incongruent,1,0.3989809,,98,,90
congruent,1,0.4633355,,,congruent,1,0.4633355,,incongruent,1,0.5567667,,,,
congruent,1,0.5859788,,,congruent,1,0.5859788,,incongruent,1,0.4534866,,Simon Effect ,,
congruent,1,0.461623,,,congruent,1,0.461623,,incongruent,1,0.4891499,,-0.028148717,,
congruent,1,0.5788961,,,congruent,1,0.5788961,,incongruent,1,0.5055779,,,,
congruent,1,0.4856433,,,congruent,1,0.4856433,,incongruent,1,0.4423648,,,,
congruent,1,0.607945,,,congruent,1,0.607945,,incongruent,1,0.4621419,,,,
congruent,1,0.2897231,,,congruent,1,0.2897231,,incongruent,1,0.4671092,,,,
congruent,1,0.6056159,,,congruent,1,0.6056159,,incongruent,1,0.4491463,,,,
congruent,1,0.603497,,,congruent,1,0.603497,,incongruent,1,0.5920658,,,,
congruent,1,0.3505834,,,congruent,1,0.3505834,,incongruent,1,0.5444195,,,,
congruent,1,0.602771,,,congruent,1,0.602771,,incongruent,1,0.4621921,,,,
congruent,1,0.4379387,,,congruent,1,0.4379387,,incongruent,1,0.6098896,,,,
congruent,1,0.4762834,,,congruent,1,0.4762834,,incongruent,1,0.7121021,,,,
congruent,1,0.5678576,,,congruent,1,0.5678576,,incongruent,1,0.4784279,,,,
congruent,1,0.7614972,,,congruent,1,0.7614972,,incongruent,1,0.5337047,,,,
congruent,1,0.57843,,,congruent,1,0.57843,,incongruent,1,0.4277192,,,,
congruent,1,0.6432436,,,congruent,1,0.6432436,,incongruent,1,0.5593863,,,,
congruent,1,0.9070454,,,congruent,1,0.9070454,,incongruent,1,0.4702999,,,,
congruent,1,0.6272349,,,congruent,1,0.6272349,,incongruent,1,0.4125537,,,,
congruent,1,0.6547363,,,congruent,1,0.6547363,,incongruent,1,0.4502764,,,,
congruent,1,0.3445876,,,congruent,1,0.3445876,,incongruent,1,0.5694608,,,,
congruent,1,0.603074,,,congruent,1,0.603074,,incongruent,1,0.4703128,,,,
congruent,1,0.5867033,,,congruent,1,0.5867033,,incongruent,1,0.4173488,,,,
congruent,1,0.4536774,,,congruent,1,0.4536774,,incongruent,1,0.4551555,,,,
congruent,1,0.4307226,,,congruent,1,0.4307226,,incongruent,1,0.5138538,,,,
congruent,1,0.6335934,,,congruent,1,0.6335934,,incongruent,1,0.588329,,,,
congruent,1,0.4519784,,,congruent,1,0.4519784,,incongruent,1,0.5705376,,,,
congruent,1,0.5669589,,,congruent,1,0.5669589,,incongruent,1,0.4797068,,,,
congruent,1,0.3616669,,,congruent,1,0.3616669,,incongruent,1,0.4640761,,,,
congruent,1,0.5028697,,,congruent,1,0.5028697,,incongruent,1,0.5391712,,,,
congruent,1,0.5979794,,,congruent,1,0.5979794,,incongruent,1,0.5179457,,,,
congruent,1,0.428829,,,congruent,1,0.428829,,incongruent,1,0.591155,,,,
congruent,1,0.3463311,,,congruent,1,0.3463311,,incongruent,1,0.4929021,,,,
congruent,1,0.5419021,,,congruent,1,0.5419021,,incongruent,1,0.4492599,,,,
congruent,1,0.4506291,,,congruent,1,0.4506291,,incongruent,1,0.591652,,,,
congruent,1,0.6208332,,,congruent,1,0.6208332,,incongruent,1,0.4819782,,,,
congruent,1,0.5679444,,,congruent,1,0.5679444,,incongruent,1,0.7546356,,,,
congruent,1,0.4388442,,,congruent,1,0.4388442,,incongruent,1,0.6018253,,,,
congruent,1,0.4911353,,,congruent,1,0.4911353,,incongruent,1,0.502758,,,,
congruent,1,0.4918241,,,congruent,1,0.4918241,,incongruent,1,0.5424696,,,,
congruent,1,0.5139179,,,congruent,1,0.5139179,,incongruent,0,0.4456574,,,,
congruent,1,0.5916459,,,congruent,1,0.5916459,,incongruent,0,0.3841432,,,,
congruent,1,0.5461399,,,congruent,1,0.5461399,,incongruent,0,0.334832,,,,
congruent,1,0.6823893,,,congruent,1,0.6823893,,incongruent,0,0.3528252,,,,
incongruent,1,0.5915685,,,congruent,0,0.4888222,,incongruent,0,0.4223917,,,,
incongruent,1,0.5480446,,,,,,,,,,,,,
incongruent,1,0.5156611,,,,,,,,,,,,,
incongruent,1,0.6308309,,,,,,,,,,,,,
incongruent,1,0.3989809,,,,,,,,,,,,,
incongruent,1,0.5567667,,,,,,,,,,,,,
incongruent,1,0.4534866,,,,,,,,,,,,,
incongruent,1,0.4891499,,,,,,,,,,,,,
incongruent,1,0.5055779,,,,,,,,,,,,,
incongruent,1,0.4423648,,,,,,,,,,,,,
incongruent,1,0.4621419,,,,,,,,,,,,,
incongruent,1,0.4671092,,,,,,,,,,,,,
incongruent,1,0.4491463,,,,,,,,,,,,,
incongruent,1,0.5920658,,,,,,,,,,,,,
incongruent,1,0.5444195,,,,,,,,,,,,,
incongruent,1,0.4621921,,,,,,,,,,,,,
incongruent,1,0.6098896,,,,,,,,,,,,,
incongruent,1,0.7121021,,,,,,,,,,,,,
incongruent,1,0.4784279,,,,,,,,,,,,,
incongruent,1,0.5337047,,,,,,,,,,,,,
incongruent,1,0.4277192,,,,,,,,,,,,,
incongruent,1,0.5593863,,,,,,,,,,,,,
incongruent,1,0.4702999,,,,,,,,,,,,,
incongruent,1,0.4125537,,,,,,,,,,,,,
incongruent,1,0.4502764,,,,,,,,,,,,,
incongruent,1,0.5694608,,,,,,,,,,,,,
incongruent,1,0.4703128,,,,,,,,,,,,,
incongruent,1,0.4173488,,,,,,,,,,,,,
incongruent,1,0.4551555,,,,,,,,,,,,,
incongruent,1,0.5138538,,,,,,,,,,,,,
incongruent,1,0.588329,,,,,,,,,,,,,
incongruent,1,0.5705376,,,,,,,,,,,,,
incongruent,1,0.4797068,,,,,,,,,,,,,
incongruent,1,0.4640761,,,,,,,,,,,,,
incongruent,1,0.5391712,,,,,,,,,,,,,
incongruent,1,0.5179457,,,,,,,,,,,,,
incongruent,1,0.591155,,,,,,,,,,,,,
incongruent,1,0.4929021,,,,,,,,,,,,,
incongruent,1,0.4492599,,,,,,,,,,,,,
incongruent,1,0.591652,,,,,,,,,,,,,
incongruent,1,0.4819782,,,,,,,,,,,,,
incongruent,1,0.7546356,,,,,,,,,,,,,
incongruent,1,0.6018253,,,,,,,,,,,,,
incongruent,1,0.502758,,,,,,,,,,,,,
incongruent,1,0.5424696,,,,,,,,,,,,,
