condition,key_resp.corr,key_resp.rt,,Cong,Corr,RT,,Incong,Corr,RT,,,,,,,
congruent,1,0.6533432,,congruent,1,0.6533432,,incongruent,1,1.2326634,,,,,,,
congruent,1,0.4823743,,congruent,1,0.4823743,,incongruent,1,0.3347901,,Mean of Congreunt,,,Mean of Incongreunt,,
congruent,1,0.2290869,,congruent,1,0.2290869,,incongruent,1,0.8921564,,0.560984282,,,0.564496104,,
congruent,1,0.2761928,,congruent,1,0.2761928,,incongruent,1,0.4225947,,,,,,,
congruent,1,0.5181494,,congruent,1,0.5181494,,incongruent,1,0.4646568,,Accuracy,,,,,
congruent,1,0.5839539,,congruent,1,0.5839539,,incongruent,1,0.5353678,,98,,,96,,
congruent,1,0.6886121,,congruent,1,0.6886121,,incongruent,1,0.8737323,,,,,,,
congruent,1,0.4492885,,congruent,1,0.4492885,,incongruent,1,0.4002702,,Simon Effect,,,,,
congruent,1,0.3204323,,congruent,1,0.3204323,,incongruent,1,0.4577253,,0.003511823,,,,,
congruent,1,0.8107306,,congruent,1,0.8107306,,incongruent,1,0.4649339,,,,,,,
congruent,1,0.3861605,,congruent,1,0.3861605,,incongruent,1,0.7375208,,,,,,,
congruent,1,0.2756131,,congruent,1,0.2756131,,incongruent,1,0.5054856,,,,,,,
congruent,1,0.4235719,,congruent,1,0.4235719,,incongruent,1,0.4685961,,,,,,,
congruent,1,0.3738435,,congruent,1,0.3738435,,incongruent,1,0.4024489,,,,,,,
congruent,1,0.5852603,,congruent,1,0.5852603,,incongruent,1,0.3888008,,,,,,,
congruent,1,0.5624753,,congruent,1,0.5624753,,incongruent,1,0.4590305,,,,,,,
congruent,1,0.5026386,,congruent,1,0.5026386,,incongruent,1,0.6148227,,,,,,,
congruent,1,0.5766674,,congruent,1,0.5766674,,incongruent,1,0.7202394,,,,,,,
congruent,1,0.4714462,,congruent,1,0.4714462,,incongruent,1,0.6317585,,,,,,,
congruent,1,0.664891,,congruent,1,0.664891,,incongruent,1,0.5139301,,,,,,,
congruent,1,0.5211276,,congruent,1,0.5211276,,incongruent,1,0.5612213,,,,,,,
congruent,1,0.4909913,,congruent,1,0.4909913,,incongruent,1,0.555208,,,,,,,
congruent,1,0.5226667,,congruent,1,0.5226667,,incongruent,1,0.4288892,,,,,,,
congruent,1,0.7239199,,congruent,1,0.7239199,,incongruent,1,0.4926287,,,,,,,
congruent,1,0.5182475,,congruent,1,0.5182475,,incongruent,1,0.4044513,,,,,,,
congruent,1,1.1499116,,congruent,1,1.1499116,,incongruent,1,0.4129205,,,,,,,
congruent,1,0.7239796,,congruent,1,0.7239796,,incongruent,1,0.4274429,,,,,,,
congruent,1,0.5827412,,congruent,1,0.5827412,,incongruent,1,0.3615506,,,,,,,
congruent,1,0.9429263,,congruent,1,0.9429263,,incongruent,1,0.4388225,,,,,,,
congruent,1,0.5519538,,congruent,1,0.5519538,,incongruent,1,0.5831285,,,,,,,
congruent,1,0.6652297,,congruent,1,0.6652297,,incongruent,1,0.5062461,,,,,,,
congruent,1,0.5772862,,congruent,1,0.5772862,,incongruent,1,1.108497,,,,,,,
congruent,1,0.7043337,,congruent,1,0.7043337,,incongruent,1,0.5531919,,,,,,,
congruent,1,0.5617652,,congruent,1,0.5617652,,incongruent,1,0.4581379,,,,,,,
congruent,1,0.6586317,,congruent,1,0.6586317,,incongruent,1,0.6580478,,,,,,,
congruent,1,0.609778,,congruent,1,0.609778,,incongruent,1,0.5149392,,,,,,,
congruent,1,0.5974056,,congruent,1,0.5974056,,incongruent,1,0.7404684,,,,,,,
congruent,1,0.9019103,,congruent,1,0.9019103,,incongruent,1,0.716145,,,,,,,
congruent,1,0.3886854,,congruent,1,0.3886854,,incongruent,1,0.6872312,,,,,,,
congruent,1,0.8622973,,congruent,1,0.8622973,,incongruent,1,0.9140122,,,,,,,
congruent,1,0.3988711,,congruent,1,0.3988711,,incongruent,1,0.5912981,,,,,,,
congruent,1,0.4787839,,congruent,1,0.4787839,,incongruent,1,0.4472982,,,,,,,
congruent,1,0.5031973,,congruent,1,0.5031973,,incongruent,1,0.4083977,,,,,,,
congruent,1,0.8959808,,congruent,1,0.8959808,,incongruent,1,0.5691406,,,,,,,
congruent,1,0.4336709,,congruent,1,0.4336709,,incongruent,1,0.5792632,,,,,,,
congruent,1,0.4663975,,congruent,1,0.4663975,,incongruent,1,0.4822579,,,,,,,
congruent,1,0.3487178,,congruent,1,0.3487178,,incongruent,1,0.5545854,,,,,,,
congruent,1,0.5618242,,congruent,1,0.5618242,,incongruent,1,0.4188674,,,,,,,
congruent,1,0.3102659,,congruent,1,0.3102659,,incongruent,0,0.3990791,,,,,,,
incongruent,1,1.2326634,,congruent,0,0.4555939,,incongruent,0,1.0555063,,,,,,,
incongruent,1,0.3347901,,,,,,,,,,,,,,,
incongruent,1,0.8921564,,,,,,,,,,,,,,,
incongruent,1,0.4225947,,,,,,,,,,,,,,,
incongruent,1,0.4646568,,,,,,,,,,,,,,,
incongruent,1,0.5353678,,,,,,,,,,,,,,,
incongruent,1,0.8737323,,,,,,,,,,,,,,,
incongruent,1,0.4002702,,,,,,,,,,,,,,,
incongruent,1,0.4577253,,,,,,,,,,,,,,,
incongruent,1,0.4649339,,,,,,,,,,,,,,,
incongruent,1,0.7375208,,,,,,,,,,,,,,,
incongruent,1,0.5054856,,,,,,,,,,,,,,,
incongruent,1,0.4685961,,,,,,,,,,,,,,,
incongruent,1,0.4024489,,,,,,,,,,,,,,,
incongruent,1,0.3888008,,,,,,,,,,,,,,,
incongruent,1,0.4590305,,,,,,,,,,,,,,,
incongruent,1,0.6148227,,,,,,,,,,,,,,,
incongruent,1,0.7202394,,,,,,,,,,,,,,,
incongruent,1,0.6317585,,,,,,,,,,,,,,,
incongruent,1,0.5139301,,,,,,,,,,,,,,,
incongruent,1,0.5612213,,,,,,,,,,,,,,,
incongruent,1,0.555208,,,,,,,,,,,,,,,
incongruent,1,0.4288892,,,,,,,,,,,,,,,
incongruent,1,0.4926287,,,,,,,,,,,,,,,
incongruent,1,0.4044513,,,,,,,,,,,,,,,
incongruent,1,0.4129205,,,,,,,,,,,,,,,
incongruent,1,0.4274429,,,,,,,,,,,,,,,
incongruent,1,0.3615506,,,,,,,,,,,,,,,
incongruent,1,0.4388225,,,,,,,,,,,,,,,
incongruent,1,0.5831285,,,,,,,,,,,,,,,
incongruent,1,0.5062461,,,,,,,,,,,,,,,
incongruent,1,1.108497,,,,,,,,,,,,,,,
incongruent,1,0.5531919,,,,,,,,,,,,,,,
incongruent,1,0.4581379,,,,,,,,,,,,,,,
incongruent,1,0.6580478,,,,,,,,,,,,,,,
incongruent,1,0.5149392,,,,,,,,,,,,,,,
incongruent,1,0.7404684,,,,,,,,,,,,,,,
incongruent,1,0.716145,,,,,,,,,,,,,,,
incongruent,1,0.6872312,,,,,,,,,,,,,,,
incongruent,1,0.9140122,,,,,,,,,,,,,,,
incongruent,1,0.5912981,,,,,,,,,,,,,,,
incongruent,1,0.4472982,,,,,,,,,,,,,,,
incongruent,1,0.4083977,,,,,,,,,,,,,,,
incongruent,1,0.5691406,,,,,,,,,,,,,,,
incongruent,1,0.5792632,,,,,,,,,,,,,,,
incongruent,1,0.4822579,,,,,,,,,,,,,,,
incongruent,1,0.5545854,,,,,,,,,,,,,,,
incongruent,1,0.4188674,,,,,,,,,,,,,,,
congruent,0,0.4555939,,,,,,,,,,,,,,,
incongruent,0,0.3990791,,,,,,,,,,,,,,,
incongruent,0,1.0555063,,,,,,,,,,,,,,,
