thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,0,up,1,0.5578556999971624,None,0,0,0,0,0.059067700000014156,,0.05740469999727793,0.059067700000014156,0.9928423000092153,1.0533902000024682,1.5990950999985216,0,up,1,0.5578556999971624,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
1,0,1,0,up,1,0.39873389998683706,None,1,0,1,0,1.6007446000003256,,1.5992208999959985,1.6007446000003256,2.5879293000034522,2.593901000000187,2.9880059999995865,0,up,1,0.39873389998683706,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
2,0,2,-4,down,0,0.8554308000020683,None,2,0,2,0,2.9936069999967003,,2.9881524000084028,2.9936069999967003,3.981057500001043,3.981057500001043,4.837001499996404,-4,down,0,0.8554308000020683,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
3,0,3,1,up,1,0.4875739999988582,None,3,0,3,0,4.842218799996772,,4.8371736999979476,4.842218799996772,5.8309135000017704,5.836931400001049,6.3208359999989625,1,up,1,0.4875739999988582,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
4,0,4,0,up,1,0.6887630999990506,None,4,0,4,0,6.327314699999988,,6.320960099998047,6.327314699999988,7.313736299998709,7.319685700000264,8.005054499997641,0,up,1,0.6887630999990506,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
5,0,5,0,down,0,0.43800159999227617,None,5,0,5,0,8.0105290000065,,8.005317700008163,8.0105290000065,8.999989999996615,8.999989999996615,9.443096800008789,0,down,0,0.43800159999227617,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
6,0,6,0,up,1,0.41785100000561215,None,6,0,6,0,9.448752700001933,,9.443330000009155,9.448752700001933,10.436394600008498,10.442895000000135,10.854905500003952,0,up,1,0.41785100000561215,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
7,0,7,0,up,1,0.5530188999982784,None,7,0,7,0,10.860730900007184,,10.855033200001344,10.860730900007184,11.847665599998436,11.85482619999675,12.406365000002552,0,up,1,0.5530188999982784,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
8,0,8,0,down,0,0.3196135000034701,None,8,0,8,0,12.411170100007439,,12.406496199997491,12.411170100007439,13.400060100000701,13.4065746999986,13.721306899999036,0,down,0,0.3196135000034701,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
9,0,9,-1,down,0,0.3157229000062216,None,9,0,9,0,13.727433899999596,,13.721441700006835,13.727433899999596,14.715520900004776,14.721776899998076,15.036054500000319,-1,down,0,0.3157229000062216,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
10,0,10,0,up,1,0.5752040999941528,None,10,0,10,0,15.042194699999527,,15.036240000001271,15.042194699999527,16.03061329999764,16.03657949999615,16.60633589999634,0,up,1,0.5752040999941528,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
11,0,11,0,down,0,0.6459512000001268,None,11,0,11,0,16.613404800009448,,16.60648040000524,16.613404800009448,17.59885629999917,17.606081400008406,18.24783710000338,0,down,0,0.6459512000001268,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
12,0,12,0,down,0,0.8128011000080733,None,12,0,12,0,18.25461560000258,,18.247981000007712,18.25461560000258,19.24145529999805,19.247304400007124,20.054807399996207,0,down,0,0.8128011000080733,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
13,0,13,0,down,0,0.7988809999951627,None,13,0,13,0,20.060628100007307,,20.05502179999894,20.060628100007307,21.04754959999991,21.05320579999534,21.84757019999961,0,down,0,0.7988809999951627,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
14,0,14,0,up,1,0.5553260999877239,None,14,0,14,0,21.853152199997567,,21.84770280000521,21.853152199997567,22.83547510000062,22.8474983000051,23.3934195000038,0,up,1,0.5553260999877239,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
15,0,15,3,up,1,0.4431237999961013,None,15,0,15,0,23.400208799997927,,23.393597700007376,23.400208799997927,24.387790200009476,24.393738600003417,24.836513000002014,3,up,1,0.4431237999961013,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
16,0,16,0,down,0,0.36873679999553133,None,16,0,16,0,24.842404299997725,,24.836655499995686,24.842404299997725,25.83029600000009,25.83543560000544,26.200175899997703,0,down,0,0.36873679999553133,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
17,0,17,0,up,1,0.3588464000058593,None,17,0,17,0,26.20604849999654,,26.200310900007025,26.20604849999654,27.19401170000492,27.199835999999777,27.557702500009327,0,up,1,0.3588464000058593,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
18,0,18,0,up,1,0.8233986999985063,None,18,0,18,0,27.564049200009322,,27.557844900002237,27.564049200009322,28.55150390000199,28.556435699996655,29.375805500007118,0,up,1,0.8233986999985063,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
19,0,19,4,down,0,0.9709477000142215,None,19,0,19,0,29.38159990000713,,29.375954500006628,29.38159990000713,30.369660500000464,30.37551379999786,31.34444889999577,4,down,0,0.9709477000142215,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
20,0,20,0,up,1,0.5865116999921156,None,20,0,20,0,31.351667299997644,,31.344675200001802,31.351667299997644,32.33351880000555,32.345342400003574,32.92096240000683,0,up,1,0.5865116999921156,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
