reward_today,future_reward,delay
11,30,7
15,35,13
27,50,21
40,55,62
49,60,89
67,75,119
78,80,162
53,64,50
64,84,7
84,117,168
18,23,170
76,101,30
20,29,19
37,53,94
95,143,43
78,91,88
91,105,45
30,40,50
97,150,47
40,49,22
32,43,15
28,37,8
81,97,153
19,26,151
26,41,14
83,99,11
24,30,25
41,49,154
81,89,13
75,101,7
37,58,31
61,71,170
68,96,59
26,30,125
95,146,31
87,107,11
50,78,32
80,100,170
100,142,28
91,119,42
59,76,125
81,125,89
38,50,42
17,19,125
84,123,9
57,84,155
57,73,43
40,50,120
91,123,29
29,35,58
13,15,63
29,41,88
38,55,7
27,33,19
84,109,29
43,67,121
94,114,43
78,96,170
21,25,147
87,123,150
17,21,168
21,27,62
57,71,125
30,43,61
29,35,27
10,14,117
79,88,65
27,35,49
68,87,30
17,22,58
61,97,64
79,92,170
77,91,148
39,54,7
33,37,14
17,20,10
30,45,17
100,125,147
31,38,170
80,92,147
14,21,19
14,21,30
41,63,18
68,96,168
10,16,50
40,61,24
21,33,29
64,93,154
72,88,7
24,38,45
42,67,7
38,44,19
22,25,92
18,22,170
21,29,7
28,35,35
30,44,153
56,87,9
68,86,11
10,13,22
